,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_bins,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
40,708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,60대 이상,0.9978,0.00219708
41,827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,40대,0.00011811,0.99988
42,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,50대,2.23E-05,0.99998
43,773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,50대,0.00015785,0.99984
44,778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,3906,1.214,1756,32,1,0,40대,6.92E-05,0.99993
45,720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,30대,0.00031726,0.99968
46,712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,40대,0.00020643,0.99979
47,789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,50대,6.08E-05,0.99994
48,738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,50대,0.0001546,0.99985
49,799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,40대,0.00030516,0.99969
50,771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,50대,3.03E-05,0.99997
51,720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,50대,0.00020516,0.99979
52,779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,50대,0.99028,0.00972
53,711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,60대 이상,0.00018134,0.99982
54,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,40대,4.62E-05,0.99995
55,714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,50대,0.99671,0.00329379
56,717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667,40대,0.00022797,0.99977
57,716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,40대,4.36E-05,0.99996
58,768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,50대,0.00019683,0.9998
59,711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,40대,5.69E-05,0.99994
60,714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,40대,0.00035539,0.99964
61,787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,50대,0.00021834,0.99978
62,712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,40대,0.99823,0.00177065
63,711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,30대,0.00027604,0.99972
64,710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,40대,0.00026824,0.99973
65,708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,50대,0.00011065,0.99989
66,788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,50대,0.00015398,0.99985
67,807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,50대,0.00029411,0.99971
68,788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,40대,0.00031104,0.99969
69,711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,40대,0.00011382,0.99989
70,717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,50대,0.00016471,0.99984
71,715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,50대,0.00020077,0.9998
72,720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,50대,0.00030251,0.9997
73,719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698,50대,0.00017969,0.99982
74,820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,40대,0.00012082,0.99988
75,789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,40대,0.00027607,0.99972
76,712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,50대,0.00017987,0.99982
77,804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,40대,0.00022797,0.99977
78,714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,30대,0.00023192,0.99977
79,779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,40대,5.72E-05,0.99994
80,710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066,40대,0.00017987,0.99982
81,715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198,40대,8.32E-05,0.99992
82,715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044,40대,0.00011743,0.99988
83,711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.585,615,12,0.714,0,50대,0.99763,0.00236635
84,755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14,50대,0.00028395,0.99972
85,794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035,50대,0.00020404,0.9998
86,716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619,50대,6.64E-05,0.99993
87,715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108,50대,6.67E-05,0.99993
88,711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0,40대,0.00020424,0.9998
89,719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066,40대,0.00010943,0.99989
90,778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0,50대,0.00033251,0.99967
91,717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0,50대,0.00011065,0.99989
92,714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062,40대,6.77E-05,0.99993
93,714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576,0,6576,0.579,1465,34,0.619,0,40대,0.00034315,0.99966
94,789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765,50대,0.0001125,0.99989
95,715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963,40대,6.28E-05,0.99994
96,719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524,60대 이상,0.00034315,0.99966
97,772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347,40대,0.00022556,0.99977
98,720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,50대,0.00027008,0.99973
99,802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232,50대,4.24E-05,0.99996
100,711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299,40대,0.997,0.00299743
101,714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085,40대,8.09E-05,0.99992
102,713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059,40대,0.00031177,0.99969
103,779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43,50대,0.00011811,0.99988
104,721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62,40대,0.00030251,0.9997
105,713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0,40대,6.69E-05,0.99993
106,716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111,40대,0.00037329,0.99963
107,779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,33585,0.828,1022,21,1.1,0.027,50대,6.48E-05,0.99994
108,717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169,40대,0.00018475,0.99982
109,808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0,60대 이상,7.76E-06,0.99999
110,708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058,50대,0.00020735,0.99979
111,710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223,50대,6.96E-05,0.99993
112,708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057,40대,0.00034503,0.99965
113,799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513,40대,5.62E-05,0.99994
114,718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,788,1.674,1305,24,3,0.473,50대,0.00010043,0.9999
115,711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095,40대,2.11E-05,0.99998
116,714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047,40대,0.00010684,0.99989
117,826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106,50대,4.24E-05,0.99996
118,771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156,50대,0.00015942,0.99984
119,721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,40대,0.00032436,0.99968
120,715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355,50대,0.0001861,0.99981
121,718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03,50대,0.00011382,0.99989
122,719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,50대,2.76E-05,0.99997
123,714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15,50대,0.00010386,0.9999
124,785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407,40대,0.00030516,0.99969
125,771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044,50대,0.00015801,0.99984
126,711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0,40대,0.00011811,0.99988
127,783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0,50대,2.13E-05,0.99998
128,720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191,50대,0.99447,0.00553
129,718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096,50대,5.35E-05,0.99995
130,710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176,50대,9.93E-05,0.9999
131,714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83,40대,5.17E-05,0.99995
132,822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412,40대,6.35E-05,0.99994
133,714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086,50대,0.00020077,0.9998
134,713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678,50대,0.00014834,0.99985
135,711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,40대,0.00013405,0.99987
136,708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067,40대,2.11E-05,0.99998
137,719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271,50대,0.00017486,0.99983
138,717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114,40대,2.07E-05,0.99998
139,711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395,60대 이상,0.0001747,0.99983
140,715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406,30대,0.00013393,0.99987
141,789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,0,8025,0.654,673,18,0.8,0,40대,0.99672,0.00328187
142,789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258,50대,0.00019751,0.9998
143,709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169,50대,0.00018864,0.99981
144,718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178,50대,0.00017969,0.99982
145,767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979,0,14979,0.71,530,10,1,0,50대,0.99639,0.00360825
146,712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,2732,0.76,739,16,0.455,0,40대,0.99518,0.00481999
147,716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941,40대,0.00017987,0.99982
148,818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141,50대,4.20E-05,0.99996
149,772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23,40대,9.72E-05,0.9999
150,712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118,40대,9.01E-05,0.99991
151,711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0,40대,2.05E-05,0.99998
152,712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119,60대 이상,0.00017969,0.99982
153,712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0,50대,0.00016236,0.99984
154,773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64,40대,0.00012274,0.99988
155,795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432,50대,0.0001747,0.99983
